chr	start	end	Del(sub-TAD1)_96h_CHiC_d11	Del(sub-TAD1)_96h_CHiC_d13	Del(sub-TAD1)_96h_CHiC_d8	Del(sub-TAD1)_96h_CHiC_d9	wt_96h_CHiC_merge_d11	wt_96h_CHiC_merge_d13	wt_96h_CHiC_merge_d8	wt_96h_CHiC_merge_d9
chr2	74770000	74771000	1.18041126790002	1.03942713725484	1.91727052063	2.05221675690017	NA	NA	NA	NA
chr2	74771000	74772000	1.38506800429838	0.949613342122887	2.51838483300669	2.2519343495376	NA	NA	NA	NA
chr2	74772000	74773000	1.30877182058756	0.778237865229116	2.38550263121268	2.07859606653887	NA	NA	NA	NA
chr2	74773000	74774000	1.31050549262746	0.738556262718596	2.68332379081179	2.18557383147913	NA	NA	NA	NA
chr2	74774000	74775000	1.56799788551645	0.789753868408959	3.24355774240262	2.43821452961475	NA	NA	NA	NA
chr2	74775000	74776000	1.82050459696521	0.948086547900428	3.65787941294003	2.56537523920035	NA	NA	NA	NA
chr2	74776000	74777000	1.7562013518688	1.01655088870271	3.00910665027345	2.32901721541588	NA	NA	NA	NA
chr2	74777000	74778000	2.61585950884052	1.33332127716246	3.8360628345187	3.06467696274511	NA	NA	NA	NA
chr2	74778000	74779000	2.76624871983322	1.45071202349239	3.90292481126132	3.09863069119873	NA	NA	NA	NA
chr2	74779000	74780000	2.55945575455186	1.48777483968705	3.43179018955508	2.90980899789594	NA	NA	NA	NA
chr2	74780000	74781000	2.51241695029587	1.47285130827908	3.1913170144911	3.00711626805245	NA	NA	NA	NA
chr2	74781000	74782000	2.46389814822029	1.45431782373774	3.63481572969359	2.98789126944133	NA	NA	NA	NA
chr2	74782000	74783000	1.97177751805341	1.34540952765865	2.87925006982407	2.6370389938276	NA	NA	NA	NA
chr2	74783000	74784000	2.07330833996674	1.34635201708907	2.83582087785438	2.77710677299165	NA	NA	NA	NA
chr2	74784000	74785000	2.23359369067429	1.31191115230019	2.75871041859809	2.80685269734202	NA	NA	NA	NA
chr2	74785000	74786000	2.08877752223289	1.1392641760633	2.35518377369635	2.64408664484906	NA	NA	NA	NA
chr2	74786000	74787000	1.85972498621017	0.953717686070739	1.83298760372356	2.48680281921802	NA	NA	NA	NA
chr2	74787000	74788000	1.48700339390767	0.832907345085258	1.71121768557935	2.24711725401061	NA	NA	NA	NA
chr2	74788000	74789000	1.20758286952749	0.820900922787393	1.48966775896703	1.95399070059816	NA	NA	NA	NA
chr2	74789000	74790000	1.20244289221812	0.883756073064555	1.52035661947733	1.80086256723939	NA	NA	NA	NA
chr2	75135000	75136000	NA	NA	NA	NA	0.799109200429721	0.567687269601133	1.11015001606948	1.2002496530526
chr2	75136000	75137000	NA	NA	NA	NA	0.96695763506058	0.631049525470482	1.37844589155389	1.35958159809368
chr2	75137000	75138000	NA	NA	NA	NA	0.954942781034986	0.625297214931156	1.35224188102554	1.29884840976584
chr2	75138000	75139000	NA	NA	NA	NA	0.947543438592327	0.601979497350274	1.30612201348076	1.21394581892636
chr2	75139000	75140000	NA	NA	NA	NA	1.04455108128471	0.635440773758502	1.45392614725551	1.3414721582468
chr2	75140000	75141000	NA	NA	NA	NA	1.10724251467759	0.709198934244212	1.68504055625239	1.46549561211056
chr2	75141000	75142000	NA	NA	NA	NA	1.11190940807241	0.706729759055111	1.53414889462828	1.40233579852174
chr2	75142000	75143000	NA	NA	NA	NA	1.25416235837596	0.79418945820975	1.77432777995128	1.72989738414747
chr2	75143000	75144000	NA	NA	NA	NA	1.34862464729667	0.864937662885535	1.89949069714497	1.93197504196316
chr2	75144000	75145000	NA	NA	NA	NA	1.25048802387756	0.833901139117853	1.75713519193906	1.8150721326486
chr2	75145000	75146000	NA	NA	NA	NA	1.21705989435692	0.830990388193285	1.6676525849677	1.90872876113587
chr2	75146000	75147000	NA	NA	NA	NA	1.18742791416036	0.815863883446867	1.6336858399761	2.07228516761696
chr2	75147000	75148000	NA	NA	NA	NA	1.086268489777	0.768885179046082	1.40866456271091	1.81708863989625
chr2	75148000	75149000	NA	NA	NA	NA	1.14785070895363	0.825060878253815	1.53889674373633	1.84198332796311
chr2	75149000	75150000	NA	NA	NA	NA	1.17342663826936	0.798110002145194	1.51401982380063	1.77046742723698
chr2	75150000	75151000	NA	NA	NA	NA	1.15317414945692	0.706501955106142	1.35258333739198	1.49898390980937
chr2	75151000	75152000	NA	NA	NA	NA	1.16231801266851	0.738658777580501	1.28610687439585	1.36710697152068
chr2	75152000	75153000	NA	NA	NA	NA	1.18334433798931	0.761357274830343	1.35919047500125	1.50370359984196
chr2	75153000	75154000	NA	NA	NA	NA	1.05166943255112	0.668947278302946	1.18588466437209	1.35060584544853
chr2	75154000	75155000	NA	NA	NA	NA	1.03557089564523	0.671892010204945	1.19991706001192	1.32954311346133
