chr	start	end	wt_48h_CHiC_CBS1	wt_48h_CHiC_CBS2	wt_48h_CHiC_CBS3	wt_48h_CHiC_CBS4	wt_48h_CHiC_CBS5	wt_48h_CHiC_CBS6
chr2	74959000	74960000	1.18433380684259	0.874918981263994	0.592656307560844	0.477386818727473	0.402110234317329	0.266598354577804
chr2	74960000	74961000	1.2727448234771	1.11257018417221	0.66673834600595	0.564252572298311	0.493042131889805	0.426602327538209
chr2	74961000	74962000	1.29437833626038	1.04684485140971	0.668594400550436	0.67373131479745	0.552428454067715	0.443747456369293
chr2	74962000	74963000	1.14204621870194	1.07692169382457	0.591404921776298	0.656016225239887	0.611228625531792	0.385518496667957
chr2	74963000	74964000	1.17608172363137	1.08510881199305	0.523819829601914	0.678206911979569	0.620729343565342	0.438836125914714
chr2	74964000	74965000	1.35241700262878	0.937748494460204	0.51300675395652	0.670182333780298	0.591534357915417	0.520627299521645
chr2	74965000	74966000	1.45975293816463	0.911906703221947	0.481533249893186	0.5943491066871	0.633428805730985	0.369483489614118
chr2	74966000	74967000	1.53707277022766	0.86588839391465	0.451457667457368	0.619279232297387	0.730543204178089	0.302246214805994
chr2	74967000	74968000	1.48704167724289	1.00669198000935	0.482593728971132	0.664988249256281	0.623384945294239	0.281025569435198
chr2	74968000	74969000	1.37694945776202	1.12956546911073	0.535425557171402	0.565975313019406	0.610521487842744	0.310848673397506
chr2	75049000	75050000	0.677973529858468	0.635793092296054	0.520365056304615	0.346138270727306	0.389900116521913	0.351088030645227
chr2	75050000	75051000	0.704969403165286	0.675694525885882	0.465487463548933	0.361194155488419	0.435209014833393	0.435050340680615
chr2	75051000	75052000	0.819812726448739	0.716844236088109	0.41605256648938	0.398662183134094	0.365083786923013	0.357476775529678
chr2	75052000	75053000	0.870303904977091	0.745628395218308	0.400727815183973	0.419660661336594	0.266548910388235	0.404214076402169
chr2	75053000	75054000	0.923374721941296	0.684214916142913	0.385984368257156	0.435773107286359	0.25801805544822	0.400656110444442
chr2	75054000	75055000	1.16989822767505	0.754815198862591	0.480049857054704	0.599125468399972	0.329233347489081	0.418227200014322
chr2	75055000	75056000	1.28914456933689	0.845374642589966	0.576284177064476	0.508781503304633	0.358371930345115	0.254656548352226
chr2	75056000	75057000	1.07666310030141	0.768648446282668	0.581810042263632	0.450328491361037	0.385908141663739	0.282961987071864
chr2	75057000	75058000	1.02926158718091	0.708894846258825	0.508804603334411	0.438665489613148	0.417192509644056	0.279189732830989
chr2	75058000	75059000	0.908957557981027	0.670309745954	0.473848080124082	0.396096974050095	0.3659832963565	0.275263808660521
chr2	75135000	75136000	1.19858179734135	0.936649458741126	0.640096286829328	0.555644056352133	0.619885963206495	0.215289823737146
chr2	75136000	75137000	1.5455105133928	1.20812497719178	0.702801950112891	0.664072220027	0.617550166406543	0.424084814369426
chr2	75137000	75138000	1.55044995873724	1.22137247261764	0.580568835677812	0.580172470424692	0.558828714524526	0.474865868930166
chr2	75138000	75139000	1.49960505501336	1.12434018430427	0.556511689749595	0.604523309518821	0.55153490262685	0.522210450274861
chr2	75139000	75140000	1.54659062653981	1.08959530581033	0.646613658686173	0.772702297068976	0.65745681513463	0.543156672257815
chr2	75140000	75141000	1.48693587345584	1.12482656933851	0.852256536812849	0.885436224381847	0.727280386091372	0.531269917232893
chr2	75141000	75142000	1.35469826794384	1.04581271586193	1.03915067882428	0.855716668057418	0.929439816845683	0.453887630401962
chr2	75142000	75143000	1.66582284412744	1.30377785868586	1.36421390659275	1.06102571545541	0.979774620676849	0.49650343745452
chr2	75143000	75144000	1.79606984097702	1.448769449308	1.45450624013925	1.11173317290848	0.990320362615066	0.532585459870546
chr2	75144000	75145000	1.57804664815958	1.41085907223644	1.34012911266109	1.06426289518709	0.889880279095947	0.542888729521949
chr2	75145000	75146000	1.71857349947931	1.32829063070819	1.2644805172483	1.11018915148208	0.700472994599582	0.587054106567192
chr2	75146000	75147000	1.51512613030709	1.31716178098969	1.24125374939715	1.15206437953527	0.6651585757225	0.579365808060021
chr2	75147000	75148000	1.16925910845081	1.23598448333535	0.991220404243766	0.913463534676238	0.816621631375262	0.513171021868979
chr2	75148000	75149000	1.13562194042572	1.55708443489353	1.16013637056186	0.943831443637054	0.962827514696537	0.615559413434436
chr2	75149000	75150000	1.24664165001928	1.47257861169516	1.18221892897656	0.827605820319018	0.927641551347979	0.570601639044385
chr2	75150000	75151000	1.08108954395587	1.37437555187015	1.18556530614908	0.7122910595609	1.00009993945778	0.544700034937836
chr2	75151000	75152000	1.31072640780623	1.30631198927182	1.09540621910748	0.727236635285259	0.864502280054899	0.482696256691067
chr2	75152000	75153000	1.44135849767471	1.17546235534315	1.08165215022499	0.874374093784587	0.812237051153093	0.547679531835912
chr2	75153000	75154000	1.4120025722075	0.736549707801985	1.00564912054626	0.898825397675296	0.651364082552824	0.402299987183129
chr2	75154000	75155000	1.40623987253028	0.772502400774836	0.949144035057585	0.937339441567696	0.628781326690194	0.445089350480654
