chr	start	end	wt_120h_CHiC_d9	wt_144h_CHiC_merge_d9	wt_168h_CHiC_d9	wt_48h_CHiC_merge_d9	wt_72h_CHiC_d9	wt_96h_CHiC_merge_d9
chr2	75060000	75061000	0.510919752067366	0.577376871421892	0.657644503917076	0.514262000793049	0.661257665912983	0.654143621085709
chr2	75061000	75062000	0.544760997572516	0.655191275559979	0.586165149536567	0.524480515605278	0.684364935304005	0.698164362144433
chr2	75062000	75063000	0.843181629661479	0.757815087474844	0.719905225819442	0.54708852990882	0.702654798457681	0.825746876889378
chr2	75063000	75064000	1.10739764320242	0.850516696547013	0.847661973563341	0.665896017241784	0.728927529511479	0.848860713562475
chr2	75064000	75065000	1.14958634921607	0.935721940938112	0.988659669412327	0.742274150791467	0.679745090522306	0.915309581634309
chr2	75065000	75066000	1.03069328178187	1.02539587436987	1.02624966539869	0.680799538666693	0.672254485012182	0.897587652615857
chr2	75066000	75067000	0.902911556555432	0.957198440024546	0.924385038750239	0.588086425563473	0.564547649774851	0.704249441134932
chr2	75067000	75068000	0.710120446808687	0.922345089339927	0.898721091803649	0.5203708440654	0.523156811488066	0.565425987005891
chr2	75068000	75069000	0.547813171913082	0.88880933889754	0.887002968441147	0.47228702475046	0.536381096563722	0.59026092371518
chr2	75069000	75070000	0.550945157091242	0.813853806007372	0.823868791800395	0.433493106089921	0.547209108085493	0.547103241132038
chr2	75070000	75071000	0.650864545271883	0.778435559374635	0.663158226587161	0.447403885629912	0.543312768230713	0.561633387474777
chr2	75071000	75072000	0.637000405525128	0.779077559283322	0.70385480625032	0.503165822550428	0.5453740527989	0.635159590277124
chr2	75072000	75073000	0.512603166455753	0.719953657075325	0.654607775328445	0.515912654605945	0.465630856770016	0.600519326771956
chr2	75073000	75074000	0.378757481547246	0.624859745901299	0.561561619137483	0.455889457018548	0.412943339241913	0.569120378970495
chr2	75074000	75075000	0.420257491225907	0.621128796054569	0.504464710420959	0.465497431028505	0.444606512076246	0.606916957517466
chr2	75075000	75076000	0.52154037126763	0.555226634312743	0.511950658985598	0.440569752233388	0.433278410850654	0.617997465638984
chr2	75076000	75077000	0.596272249357339	0.511670073176489	0.48986487357224	0.396415762999553	0.459846107329193	0.632738734116786
chr2	75077000	75078000	0.776073117019499	0.563400757460995	0.537854056746568	0.37262906900202	0.565664381994574	0.71861209076876
chr2	75078000	75079000	0.961077422623678	0.577858196174445	0.589078252627193	0.426420187060227	0.563460217770939	0.787380491780622
chr2	75079000	75080000	1.03463476702985	0.63113669676012	0.65573497339926	0.416711643497195	0.610839331102588	0.776242642600661
chr2	75080000	75081000	0.846559523498908	0.56776056212874	0.63781552325522	0.405361419228891	0.625695685771059	0.68323546829308
chr2	75081000	75082000	0.707780440255798	0.490037627480807	0.573168368539839	0.403794971281811	0.59776380347623	0.601441624297454
chr2	75082000	75083000	0.717756821994404	0.532584150874546	0.645609208168298	0.395552706105493	0.598020890428256	0.559923914873205
chr2	75083000	75084000	0.678985844418789	0.650438635791703	0.626637266507954	0.369244824149261	0.703155485978596	0.498885987908884
chr2	75084000	75085000	0.602715061510361	0.698899664644285	0.649728032724251	0.365242737987936	0.649660442215826	0.462933110476308
chr2	75085000	75086000	0.828361024966137	0.729136028378686	0.67771121991216	0.38217091692441	0.580378838730761	0.552223134812442
chr2	75086000	75087000	1.01582444354179	0.876081659445807	0.92740507475705	0.369757009651181	0.576006293744823	0.663993557406469
chr2	75087000	75088000	0.878190933844537	0.811469876495287	0.748420694011582	0.331735941380968	0.450579980522142	0.656265470736154
chr2	75088000	75089000	0.817691614958792	0.776051965291151	0.757162079662233	0.388708751604321	0.3168300273416	0.732436623489194
chr2	75089000	75090000	0.88513626116463	0.63729302222578	0.685422397068858	0.437637089285705	0.290871072214383	0.785565284448519
chr2	75090000	75091000	0.731046537690667	0.710138346741486	0.733960956296488	0.438793331449313	0.387007070235549	0.726478407401497
chr2	75091000	75092000	0.730298096114502	0.72237025511049	0.649958209431317	0.458795754327955	0.409292489952617	0.667688295344325
chr2	75092000	75093000	0.966834360037968	0.823804583308615	0.832942013730314	0.526093153918912	0.512852765763178	0.673436227206871
chr2	75093000	75094000	0.952025122732748	0.805816519874272	0.978750898440418	0.430903327776532	0.619050336747067	0.686329465393955
chr2	75094000	75095000	0.965617645763281	0.92685141209398	0.991498759697402	0.360934158478888	0.710329660448928	0.717524969783635
chr2	75095000	75096000	0.88346583063806	0.844763336401733	0.875006352518707	0.341483426888384	0.589812575423084	0.726450109069011
chr2	75096000	75097000	0.800343324643378	0.751624227269712	0.721103596576854	0.33485153329591	0.64348813357415	0.725718326669014
chr2	75097000	75098000	0.782164266144803	0.665544518462514	0.62362218859178	0.343305199875716	0.667025828998283	0.804114434905131
chr2	75098000	75099000	0.781835190121387	0.73719312578782	0.457556224167083	0.32877502857604	0.515712433715227	0.732826515654512
chr2	75099000	75100000	0.767238450363173	0.62529887256564	0.498407117576506	0.345476306802598	0.469951563221403	0.601744057242685
chr2	75100000	75101000	0.789902273011295	0.699673193012066	0.539676085692004	0.365335079625282	0.565767810231365	0.634891593255417
chr2	75101000	75102000	0.765093237472993	0.670614534133509	0.573193336056894	0.362451719278481	0.447027184131666	0.654815912860181
chr2	75102000	75103000	0.536329314271449	0.649672571084816	0.54216775278847	0.329934300570154	0.335911553998657	0.602163966177052
chr2	75103000	75104000	0.478300898584659	0.583306422915635	0.482970989731612	0.377391277394803	0.435415089055126	0.617668080410318
chr2	75104000	75105000	0.453522367615094	0.643333124246307	0.378321190999139	0.337033248349261	0.358361804319572	0.689226463961873
chr2	75105000	75106000	0.518029271680897	0.58776124514143	0.353537806136197	0.312704363631011	0.327979655667723	0.64513651463156
chr2	75106000	75107000	0.527639334747254	0.622125552210139	0.330319893014421	0.315439668834293	0.41429005052436	0.618350355137544
chr2	75107000	75108000	0.560152135495889	0.603602044047323	0.29798434978547	0.324257453690831	0.487297570337593	0.554915905853811
chr2	75108000	75109000	0.666299865421068	0.546032265710112	0.321439212523169	0.296229619517577	0.471135368974297	0.477645262127631
chr2	75109000	75110000	0.546487589489867	0.508265855485813	0.466132715429744	0.332221028532395	0.570742134028745	0.449567092064876
chr2	75110000	75111000	0.524347367242095	0.515107767110656	0.496290564475007	0.349768267646366	0.568305137886727	0.490117902034016
chr2	75111000	75112000	0.617812006805549	0.540838727093718	0.60872677572043	0.378517233525113	0.558877434766222	0.562895048675641
chr2	75112000	75113000	0.562300004007122	0.541993679012165	0.742892701271283	0.370826802363452	0.501090744826314	0.57876735736242
chr2	75113000	75114000	0.498628795150213	0.514449989537128	0.824939453532855	0.369859792003851	0.455522186911874	0.570203452695906
chr2	75114000	75115000	0.599454225833372	0.545793299170852	0.891049343900952	0.340669962475124	0.364483629320531	0.622737890376885
chr2	75115000	75116000	0.647358118747737	0.549246688664108	0.97490685564955	0.336337463804287	0.325141441358175	0.641763537470316
chr2	75116000	75117000	0.60727242235996	0.660674920713711	1.03274751444227	0.388759427107403	0.423780955429911	0.647987455786945
chr2	75117000	75118000	0.764665409227476	0.748968589393128	0.972400007395125	0.442026825361652	0.544378035117459	0.720713262577483
chr2	75118000	75119000	0.762338298626201	0.837100167689947	0.986743205258595	0.505870970250395	0.561623383114654	0.882283338050161
chr2	75119000	75120000	0.834783710027069	0.865016146366278	0.952222290578939	0.604558460774439	0.747961161329314	0.92110023801332
chr2	75120000	75121000	0.963494667515826	0.895068455269564	1.02296792990706	0.682252573411706	1.01582697604943	0.930475957922884
chr2	75121000	75122000	1.08594617677614	0.770708052241123	0.920070158379555	0.66620577102712	0.952651639453898	0.866962527829572
chr2	75122000	75123000	0.978373466149934	0.680559598229611	0.856956060088026	0.628412054611932	0.848797542320334	0.799151798557295
chr2	75123000	75124000	1.17892950954909	0.656913056913832	0.837509851097471	0.567347144576924	0.948195489028194	0.683281842075167
chr2	75124000	75125000	1.10173882889844	0.631875875257498	0.766681764832463	0.486478044862224	0.889683498723787	0.669573701042016
chr2	75125000	75126000	1.0068371949275	0.722021661663072	0.766269037238868	0.545003838994439	0.658732155568875	0.767017749823983
