chr	start	end	wt_144h_CHiC_merge_d9	wt_48h_CHiC_merge_d9	wt_96h_CHiC_merge_d9
chr2	74652000	74653000	0.648188432259232	0.741442010840701	0.695719356516527
chr2	74653000	74654000	0.593916623003017	0.718110950710229	0.671770105919179
chr2	74654000	74655000	0.611942143782819	0.840496752814249	0.682506604472066
chr2	74655000	74656000	0.73086558600148	0.886616404142745	0.773940207166501
chr2	74656000	74657000	0.754483893904284	1.0235968133193	0.919803558605434
chr2	74657000	74658000	0.772907038200811	1.08896860618042	0.914086866897826
chr2	74658000	74659000	0.876199680969315	1.27676989696045	1.02344842733297
chr2	74659000	74660000	0.971204848197942	1.33939945336424	1.11262909889838
chr2	74660000	74661000	0.899907112135283	1.33857627088477	1.08574958802394
chr2	74661000	74662000	0.908970670568099	1.2742056883918	1.05821258335314
chr2	74662000	74663000	0.918578958048441	1.31749812749628	1.14132325599596
chr2	74663000	74664000	0.914515364510597	1.23300032863645	1.14997027371315
chr2	74664000	74665000	0.864509259065806	1.15435634928711	1.1166542701754
chr2	74665000	74666000	0.879791144860611	1.11789747946513	1.13022366774784
chr2	74666000	74667000	0.915854895889484	1.15290900225635	1.17589860656481
chr2	74667000	74668000	0.821208351625828	1.05402198126435	1.19986012669524
chr2	74668000	74669000	0.69851281953721	0.914067803303304	1.07721288884824
chr2	74669000	74670000	0.599614330814783	0.793088271093226	0.992710351623243
chr2	74670000	74671000	0.544315252403446	0.697027161766905	0.929749093368294
chr2	74671000	74672000	0.560281872294037	0.650482926537416	0.967614357652072
chr2	74672000	74673000	0.638133401959341	0.635616167156487	0.896250354673578
chr2	74673000	74674000	0.703526430856867	0.714632540066246	1.00266207780154
chr2	74674000	74675000	0.725337236581497	0.79929791257276	1.09326174435951
chr2	74675000	74676000	0.858922961450564	0.944935225204741	1.21197847995202
chr2	74676000	74677000	0.930634609053689	1.02930355229148	1.22495927144472
chr2	74677000	74678000	1.03104476617651	1.26368232399286	1.4050307910825
