chr	start	end	wt_144h_CHiC_merge_d8	wt_48h_CHiC_merge_d8	wt_96h_CHiC_merge_d8
chr2	74652000	74653000	0.42654716076403	0.685947199669734	0.80517996154605
chr2	74653000	74654000	0.416437446940545	0.655855385557613	0.814512842818694
chr2	74654000	74655000	0.401956608701941	0.698897595014427	0.780854744284867
chr2	74655000	74656000	0.34792175972712	0.826132724047695	0.824045841427496
chr2	74656000	74657000	0.446852238438631	1.01332337268926	0.867858835002585
chr2	74657000	74658000	0.516234445850983	1.12825605569721	0.840074201718959
chr2	74658000	74659000	0.626565093306947	1.27188783824026	0.851945086301581
chr2	74659000	74660000	0.73793990445389	1.37461708210574	0.928869058341702
chr2	74660000	74661000	0.754766610749814	1.33049433492855	0.863580798960668
chr2	74661000	74662000	0.75927551223794	1.26401654003115	0.878282602138004
chr2	74662000	74663000	0.801359098431508	1.23227330771335	0.963967272060784
chr2	74663000	74664000	0.795500332889072	1.24063610304603	1.0131485696355
chr2	74664000	74665000	0.719195453717812	1.17130022603272	0.957121682440865
chr2	74665000	74666000	0.723905949835157	1.17564009810233	0.948012588323419
chr2	74666000	74667000	0.697480174619532	1.18424426891328	1.01771827322925
chr2	74667000	74668000	0.657433210946383	1.13379731588817	0.954418491087121
chr2	74668000	74669000	0.536883988843154	0.977944020160226	0.822039166445034
chr2	74669000	74670000	0.454201299162764	0.862565369225177	0.749379859912599
chr2	74670000	74671000	0.414429664195839	0.764805204404226	0.674741208806519
chr2	74671000	74672000	0.55863246964317	0.671395979862226	0.642064885384246
chr2	74672000	74673000	0.559642501793333	0.673476308199311	0.646451570509404
chr2	74673000	74674000	0.64336645818619	0.761766239785071	0.743108709552494
chr2	74674000	74675000	0.749645431007656	0.78957012329696	0.872380540919857
chr2	74675000	74676000	0.895346053358185	0.923103038403803	1.01155317622928
chr2	74676000	74677000	0.785105141303575	1.03576359195449	1.06378802324925
chr2	74677000	74678000	0.868361799373687	1.15229067703101	1.20602467100595
