chr	start	end	Del(CBS1-5)_96h_CHiC_d11	Del(CBS1-5)_96h_CHiC_d13	Del(CBS1-5)_96h_CHiC_d9	wt_96h_CHiC_d11	wt_96h_CHiC_d13	wt_96h_CHiC_d9
chr2	74780000	74781000	0.416343919032403	0.317992656037259	0.781143754830638	0.366581350557649	0.217677771962125	0.294768803119757
chr2	74781000	74782000	0.47490827525555	0.25845081633627	0.748866104780564	0.324533885400893	0.211913682034169	0.360771715857645
chr2	74782000	74783000	0.548679490639962	0.332484162417403	0.617532894080229	0.345192988611987	0.168521415539326	0.448102670084008
chr2	74783000	74784000	0.500082557990316	0.32203066641725	0.500075269008845	0.366992449603284	0.232437202192093	0.40727839897285
chr2	74784000	74785000	0.397748364093337	0.403172301629498	0.347298168607872	0.365033292270903	0.205133934398463	0.470797515869731
chr2	74785000	74786000	0.566037922833385	0.531321979117476	0.486393022510779	0.413653336054535	0.221257429080477	0.575994732321736
chr2	74786000	74787000	0.676164925358037	0.604982226812685	0.712398814018083	0.515213069065565	0.259529437062981	0.592100307479174
chr2	74787000	74788000	0.579045120864299	0.613455220471764	0.976097656231278	0.502154578321868	0.254494486408012	0.595007942480129
chr2	74788000	74789000	0.594994457062218	0.597122397436203	1.09920538252704	0.465265680219527	0.205109438380889	0.632716082002457
chr2	74789000	74790000	0.485236633857272	0.50819102200236	1.10782445697734	0.391745414737412	0.213773850343269	0.583191333285918
chr2	74790000	74791000	0.373928315881377	0.412257870586288	1.02884628431699	0.316127228277852	0.242129644177239	0.493671504188074
chr2	74791000	74792000	0.18404266978161	0.397455427137865	0.872649354188032	0.231190041352111	0.283790573809409	0.436794469082724
chr2	74792000	74793000	0.349673204151123	0.344737765749473	0.746787012565533	0.304262091749188	0.356696113242678	0.443021465428983
chr2	74793000	74794000	0.303615801551959	0.308037880053712	0.65937785248004	0.260977361832799	0.338659568407784	0.369162628439562
chr2	74794000	74795000	0.261400033816703	0.286546978075255	0.645849120374479	0.229252367405678	0.305156859619902	0.316032519284481
chr2	74795000	74796000	0.4369216068508	0.341698667088794	0.524728181006719	0.283719832688638	0.286156222088219	0.333471957325479
chr2	74796000	74797000	0.524096201558037	0.322072108819597	0.394831273375076	0.261738709697717	0.242289852620406	0.30167132822107
chr2	74797000	74798000	0.382639028111498	0.226485404718068	0.196883537119767	0.13749112571215	0.171039859696441	0.173495972185838
chr2	74798000	74799000	0.429462726414505	0.205322208785825	0.19156342030511	0.131927318616487	0.168336965178312	0.196593234317455
chr2	74799000	74800000	0.468524695358852	0.204846722276216	0.213935359999886	0.151690692770414	0.172766162837281	0.196272739001418
chr2	74800000	74801000	0.297245874867469	0.172910359989169	0.299043278663559	0.138976292262863	0.206776767202249	0.13581783245392
chr2	74801000	74802000	0.231901172779866	0.13763476442002	0.370346181643252	0.195258526889412	0.227094620515377	0.156694876536104
chr2	74802000	74803000	0.229773088321063	0.184824807271745	0.442407094480203	0.217725719866777	0.19298471880629	0.194667079103511
chr2	74803000	74804000	0.238095208783093	0.186788936587756	0.427167440907488	0.269149773837077	0.180084386447175	0.203500646419941
chr2	74804000	74805000	0.333849983472298	0.180203555123088	0.377849977981956	0.24214881551961	0.166132765136918	0.234511984840439
chr2	74805000	74806000	0.328540085159765	0.146084290098621	0.272147617930099	0.228563745750187	0.0962159877627968	0.255130868276974
chr2	74806000	74807000	0.393280392713743	0.280248176445141	0.213145310920836	0.29293529925682	0.0853056710867198	0.359513070571852
chr2	74807000	74808000	0.460016199711049	0.291424077559698	0.128783802113454	0.306832066038942	0.0962106463391438	0.432017787893283
chr2	74808000	74809000	0.497231439384438	0.324758964566006	0.133975164171674	0.317693589253448	0.134392118800933	0.464867073813034
chr2	74809000	74810000	0.482806984162637	0.391632883806973	0.278328242940448	0.389358669615724	0.18486972990726	0.484881354450278
chr2	74810000	74811000	0.524981912262892	0.526383223754879	0.367194147810208	0.391283792630294	0.216274530885818	0.51445552205258
chr2	74811000	74812000	0.567299780599322	0.416769000845496	0.446069910248683	0.258962465908355	0.214055332279069	0.424920994095845
chr2	74812000	74813000	0.470615759385153	0.405114248219756	0.537081626548624	0.22544769380021	0.209475227193825	0.345034975778002
chr2	74813000	74814000	0.409380153283401	0.43967887711702	0.573761269525772	0.198252848728401	0.19280984041772	0.311894847869016
chr2	74814000	74815000	0.354083714232703	0.520836083703751	0.444307611999202	0.166841935708238	0.167281304887982	0.316482867589797
chr2	74815000	74816000	0.269729915353297	0.427563129118613	0.47556455547854	0.169774526148594	0.182480622913697	0.30372231170962
chr2	74816000	74817000	0.158942365523238	0.462257166332148	0.544238692769198	0.193257548071802	0.173901092956806	0.41094782808035
chr2	74817000	74818000	0.378614535751615	0.528910837425427	0.638639063868444	0.251432176328963	0.20729219736704	0.513511216021322
chr2	74818000	74819000	0.533851584731166	0.45966272383765	0.643766664281405	0.306168911347734	0.223410010717704	0.557587403524704
chr2	74819000	74820000	0.617716213203486	0.297507256370914	0.664542036787804	0.357878036499986	0.225167157406738	0.560739409178156
chr2	74820000	74821000	0.640924349623434	0.31989062407601	0.598450759738106	0.389066446538369	0.278905042976048	0.611200812750917
chr2	74821000	74822000	0.693511815137469	0.297800718169754	0.550104504452535	0.459102052232556	0.264533921237671	0.51666827433188
