chr	start	end	wt_96h_CHiC_merge_CBS1	wt_96h_CHiC_merge_CBS2	wt_96h_CHiC_merge_CBS3	wt_96h_CHiC_merge_CBS4	wt_96h_CHiC_merge_CBS5	wt_96h_CHiC_merge_CBS6
chr2	75135000	75136000	0.920025007978468	0.961591610466482	0.793969993069052	0.785441073444528	0.953660264454495	0.516082979892079
chr2	75136000	75137000	1.1362295527335	1.1973931811306	1.02981845949053	0.95762616193567	1.1607615639606	0.591211385863466
chr2	75137000	75138000	1.13074574504013	1.23409044990377	0.961070130483566	0.916074610532841	1.21098008265028	0.589391983054116
chr2	75138000	75139000	1.16334094200147	1.23116884132968	0.962848216406219	0.904015629223911	1.1557581556831	0.573464994724396
chr2	75139000	75140000	1.25191280097648	1.38286882801907	1.0507040719301	1.00690725574046	1.12159913515877	0.686174856435356
chr2	75140000	75141000	1.42970674529747	1.51563906354399	1.23934509877097	1.0879074256281	1.14068682759394	0.708286266508749
chr2	75141000	75142000	1.34394065878313	1.36410439627277	1.25427957367269	1.10693427847364	1.07702317484545	0.677945705425653
chr2	75142000	75143000	1.47167081926029	1.66365070046046	1.72589947283086	1.26664785981606	1.27290601774002	0.783292149199965
chr2	75143000	75144000	1.51804766177243	1.80955756500739	1.89543060517956	1.43129573148058	1.39238292736604	0.849923987443318
chr2	75144000	75145000	1.48863464394976	1.75165305948039	1.82236325012411	1.33889391924714	1.30994773690852	0.756786795459357
chr2	75145000	75146000	1.45120609542599	1.94452755995802	1.77848668048238	1.51475799920258	1.36172710996809	0.811415937911851
chr2	75146000	75147000	1.50042491416612	2.19428989962091	1.68780766094269	1.54923511823215	1.37395961987492	0.769279094123396
chr2	75147000	75148000	1.49794435170014	1.97317261463698	1.34268328398252	1.4615111436066	1.21565412599046	0.731514015946082
chr2	75148000	75149000	1.68571149917638	2.14634849328342	1.43953192412737	1.65275942544762	1.37343410773769	0.79534400647028
chr2	75149000	75150000	1.66425651258327	2.10111035207155	1.43357981743022	1.69170458453594	1.39342018082082	0.805401844843106
chr2	75150000	75151000	1.6006842287078	1.84647837684713	1.28504242354493	1.51040515416139	1.25672508896972	0.758424464397736
chr2	75151000	75152000	1.55181655953718	1.73565246246439	1.36037462778543	1.35860774857064	1.20660071283771	0.861739460634212
chr2	75152000	75153000	1.5041210573024	1.76041147081213	1.52213624004932	1.51428941343199	1.25642916883292	0.875439108216378
chr2	75153000	75154000	1.43082945597025	1.53032445389419	1.43536683504964	1.32704512252109	1.07913174023494	0.771176611318614
chr2	75154000	75155000	1.46087285007865	1.52466366997833	1.51380707500947	1.31206253614287	1.15440831217439	0.740610616461825
