chr	start	end	wt_144h_CHiC_d8	wt_48h_CHiC_d8	wt_96h_CHiC_d8
chr2	74652000	74653000	0.330766766736316	0.648484293954561	0.797865303004641
chr2	74653000	74654000	0.36768721440152	0.650093156794844	0.744727764952979
chr2	74654000	74655000	0.312917496565755	0.745658661078913	0.715042035291618
chr2	74655000	74656000	0.224585132086735	0.918513987742208	0.732776369339955
chr2	74656000	74657000	0.345907573137675	1.12059320980648	0.78144013973517
chr2	74657000	74658000	0.431891087406796	1.17912979532758	0.733510250791072
chr2	74658000	74659000	0.515871415775929	1.31424074196903	0.730686868242143
chr2	74659000	74660000	0.576906219912365	1.37949868133495	0.808945525797489
chr2	74660000	74661000	0.646893806063783	1.26557845692662	0.765950804526203
chr2	74661000	74662000	0.585437156003944	1.16557374877989	0.803091096464425
chr2	74662000	74663000	0.611762435800056	1.19157106177891	0.952467296847227
chr2	74663000	74664000	0.62635545889146	1.25056404136103	1.06737890188637
chr2	74664000	74665000	0.579380738033025	1.19909400079337	1.0400161774271
chr2	74665000	74666000	0.558809325821173	1.20615242027091	1.01127572636698
chr2	74666000	74667000	0.545670566758044	1.2948157402575	1.1045090484069
chr2	74667000	74668000	0.513330820404653	1.26123245820398	1.01138402065625
chr2	74668000	74669000	0.351227999148708	1.06130295406401	0.832253626665815
chr2	74669000	74670000	0.286904641284132	0.904704848356608	0.736578627565167
chr2	74670000	74671000	0.285010614658622	0.765438179497728	0.653600134194819
chr2	74671000	74672000	0.412214757739876	0.577013346251393	0.594059559488535
chr2	74672000	74673000	0.408085319355764	0.512794819893244	0.551633450932467
chr2	74673000	74674000	0.483886540622182	0.634049137323422	0.634084894061671
chr2	74674000	74675000	0.58774206573868	0.694193519518003	0.776104144986147
chr2	74675000	74676000	0.641587708577327	0.862547941819276	0.943352261610211
chr2	74676000	74677000	0.49491542980179	1.01822710022396	0.987437147519802
chr2	74677000	74678000	0.517412512223597	1.17893369667159	1.09833588864673
