chr	start	end	wt_48h_CHiC_merge_CBS1	wt_48h_CHiC_merge_CBS2	wt_48h_CHiC_merge_CBS3	wt_48h_CHiC_merge_CBS4	wt_48h_CHiC_merge_CBS5	wt_48h_CHiC_merge_CBS6
chr2	74780000	74781000	0.683507296316496	0.876983316219828	0.556753154624814	0.681590042711254	0.589020348077362	0.377111891920721
chr2	74781000	74782000	0.745565497618731	0.905507280298842	0.530262848592482	0.695304265487211	0.603693586100528	0.371395352818748
chr2	74782000	74783000	0.779863541015546	0.787674059724563	0.538946750042803	0.629601620020753	0.54662231451159	0.379652638602351
chr2	74783000	74784000	0.806554706891092	0.774067040812276	0.574908740778367	0.533641724376191	0.531514556187586	0.35961405064932
chr2	74784000	74785000	0.725136334172561	0.633582170569211	0.608811858708408	0.451355565729676	0.510385936565878	0.360771453252526
chr2	74785000	74786000	0.863418014525075	0.721186704425021	0.761554903988402	0.589253846290448	0.61054456990454	0.4715846192746
chr2	74786000	74787000	0.896227373383998	0.754261529042737	0.839939160574273	0.664269900242047	0.664359756768663	0.516681983586505
chr2	74787000	74788000	0.91686388211802	0.804099870690918	0.752067706557689	0.68543189671831	0.657021412754803	0.537495411118107
chr2	74788000	74789000	0.898012013086213	0.830562611471067	0.721132101569578	0.796817148933217	0.686393730094654	0.583784861716389
chr2	74789000	74790000	0.800738604738086	0.800856657849148	0.638620229602761	0.798927651470367	0.610280015100295	0.538565905189554
chr2	74790000	74791000	0.690104331045399	0.714660110499121	0.517147393905952	0.60510002387765	0.496326915001784	0.410600776584415
chr2	74791000	74792000	0.641819344250469	0.720701910187873	0.511632777997932	0.418843825615986	0.466662545046108	0.346984686776126
chr2	74792000	74793000	0.615270451430619	0.63830736590606	0.543759685581819	0.392210283141735	0.432190391901293	0.282523971842849
chr2	74793000	74794000	0.54014537385472	0.510308341245082	0.493409043462034	0.322483700952862	0.345212316404518	0.204563548241207
chr2	74794000	74795000	0.482106628496936	0.476889334448194	0.485749989617938	0.273403458582579	0.309072667302098	0.19345920493114
chr2	74795000	74796000	0.520455300466194	0.534548742367347	0.502500651889438	0.387484687203583	0.363854926582543	0.252490326596606
chr2	74796000	74797000	0.446545244153615	0.4572280254723	0.406564271707109	0.405793735075763	0.314265985339027	0.229171893015539
chr2	74797000	74798000	0.303595831790604	0.450346770063584	0.304364017204201	0.39918261760755	0.270939424274413	0.205107842729549
chr2	74798000	74799000	0.394156338086067	0.468557545812208	0.346032840241542	0.403592594766126	0.262971881142277	0.234683977282557
