chr	start	end	wt_120h_CHiC_d1-d4	wt_144h_CHiC_merge_d1-d4	wt_168h_CHiC_d1-d4	wt_48h_CHiC_merge_d1-d4	wt_72h_CHiC_d1-d4	wt_96h_CHiC_merge_d1-d4
chr2	74780000	74781000	0.990846544813046	0.97288633744747	0.92748683697398	0.861514656139651	0.849847252844948	1.25610336424702
chr2	74781000	74782000	1.07492453449126	1.01092893346702	0.957473233559442	0.890521636023131	0.868742568561201	1.29431779796051
chr2	74782000	74783000	1.06855143151316	0.945350776633813	0.927317840365776	0.904376660293514	0.870739321923883	1.21972229984908
chr2	74783000	74784000	1.07645705971919	0.903873992723623	0.852559506833174	0.863156683480847	0.816038284733615	1.11946427640742
chr2	74784000	74785000	1.03965689023536	0.834478169859038	0.847534948033195	0.812555193395688	0.763271600076338	1.02082132258557
chr2	74785000	74786000	1.14661688354834	0.979662134760942	0.95179091181599	0.92969849148592	0.91059499075041	1.15112953071179
chr2	74786000	74787000	1.19672011751641	1.04242344734595	0.983695050680773	0.981031672497676	1.02226729619663	1.2200451043932
chr2	74787000	74788000	1.31390437683494	1.14510493290509	1.06185807819411	1.0072074310487	1.08403062600244	1.36429383570589
chr2	74788000	74789000	1.33002109691532	1.19086226566614	1.10173047508309	1.01791793095267	1.13269117756254	1.4390816104376
chr2	74789000	74790000	1.21854863695182	1.11946656434895	1.01157325905015	0.942614368839254	1.06643029654991	1.34419274440435
chr2	74790000	74791000	1.1129980125903	0.979148585272982	0.868394478238264	0.814803751141228	0.918830862936211	1.19335872304438
chr2	74791000	74792000	1.02918837004678	0.900503852156254	0.819831416188148	0.767717030518759	0.785895736957531	1.15197086554803
chr2	74792000	74793000	0.97611935887329	0.850996851609398	0.68364583775322	0.728030748057715	0.768069601664685	1.08807511003943
chr2	74793000	74794000	0.85742250257705	0.6966900402465	0.582536565552246	0.613922478144802	0.662286526237631	0.924297365969562
chr2	74794000	74795000	0.811697032912605	0.631146312409358	0.528180688359762	0.555757579036431	0.592339541765684	0.86429768994128
chr2	74795000	74796000	0.898752604284451	0.722499436589895	0.604663411802878	0.629842891585195	0.67273899205314	0.949359927670988
chr2	74796000	74797000	0.845064073136623	0.688946324187554	0.562945023648629	0.584875799521825	0.663374395567888	0.841171464621824
chr2	74797000	74798000	0.658726500028479	0.550602854346968	0.499057340915925	0.455208542443398	0.528768287517713	0.649122617155374
chr2	74798000	74799000	0.675374637782581	0.613511515547819	0.530625113059609	0.492210842499403	0.538267118897848	0.704375778674617
chr2	74799000	74800000	0.788892938963611	0.695600387147216	0.648008172627738	0.555425840014851	0.562069352667244	0.797958870560077
chr2	74800000	74801000	0.713322688855803	0.646312020919502	0.616196848854612	0.504845558741569	0.499510824621922	0.747219824960699
chr2	74801000	74802000	0.685878800580808	0.644622702796534	0.590953953176988	0.49774134936477	0.509098583634537	0.74583476211845
chr2	74802000	74803000	0.691848940124183	0.666966405265202	0.602010782677906	0.528615988003792	0.539400052394331	0.776631823486212
chr2	74803000	74804000	0.73639113930566	0.652016979967522	0.594670138956993	0.544879150832491	0.564353222125035	0.777321979449072
chr2	74804000	74805000	0.637424378714445	0.598421713450817	0.478624489113017	0.522592239875149	0.567269476862904	0.750015177188916
chr2	74805000	74806000	0.553784577067709	0.512215735682726	0.404931376589516	0.455037925041146	0.491729637652056	0.652479852115804
chr2	74806000	74807000	0.662800785103044	0.593662125205883	0.484142285247991	0.497059750335447	0.535834195352573	0.720444053318043
chr2	74807000	74808000	0.682982247614425	0.632420202350301	0.543238787086055	0.502699554499357	0.548363214227004	0.727166851633609
chr2	74808000	74809000	0.677118469208696	0.662404193798119	0.593975840270539	0.510964602802621	0.564313559525015	0.749312179912992
chr2	74809000	74810000	0.808432610548449	0.802650098103885	0.758769109287402	0.604168954381586	0.677985399060703	0.874508281109265
chr2	74810000	74811000	0.961984743893062	0.935116663388149	0.875243340622429	0.692104317475929	0.767088682222022	1.07029352131922
