chr	start	end	wt_96h_CHiC_merge_CBS1	wt_96h_CHiC_merge_CBS2	wt_96h_CHiC_merge_CBS4	wt_96h_CHiC_merge_CBS5
chr2	75135000	75136000	0.920025007978468	0.961591610466482	0.785441073444528	0.953660264454495
chr2	75136000	75137000	1.1362295527335	1.1973931811306	0.95762616193567	1.1607615639606
chr2	75137000	75138000	1.13074574504013	1.23409044990377	0.916074610532841	1.21098008265028
chr2	75138000	75139000	1.16334094200147	1.23116884132968	0.904015629223911	1.1557581556831
chr2	75139000	75140000	1.25191280097648	1.38286882801907	1.00690725574046	1.12159913515877
chr2	75140000	75141000	1.42970674529747	1.51563906354399	1.0879074256281	1.14068682759394
chr2	75141000	75142000	1.34394065878313	1.36410439627277	1.10693427847364	1.07702317484545
chr2	75142000	75143000	1.47167081926029	1.66365070046046	1.26664785981606	1.27290601774002
chr2	75143000	75144000	1.51804766177243	1.80955756500739	1.43129573148058	1.39238292736604
chr2	75144000	75145000	1.48863464394976	1.75165305948039	1.33889391924714	1.30994773690852
chr2	75145000	75146000	1.45120609542599	1.94452755995802	1.51475799920258	1.36172710996809
chr2	75146000	75147000	1.50042491416612	2.19428989962091	1.54923511823215	1.37395961987492
chr2	75147000	75148000	1.49794435170014	1.97317261463698	1.4615111436066	1.21565412599046
chr2	75148000	75149000	1.68571149917638	2.14634849328342	1.65275942544762	1.37343410773769
chr2	75149000	75150000	1.66425651258327	2.10111035207155	1.69170458453594	1.39342018082082
chr2	75150000	75151000	1.6006842287078	1.84647837684713	1.51040515416139	1.25672508896972
chr2	75151000	75152000	1.55181655953718	1.73565246246439	1.35860774857064	1.20660071283771
chr2	75152000	75153000	1.5041210573024	1.76041147081213	1.51428941343199	1.25642916883292
chr2	75153000	75154000	1.43082945597025	1.53032445389419	1.32704512252109	1.07913174023494
chr2	75154000	75155000	1.46087285007865	1.52466366997833	1.31206253614287	1.15440831217439
