chr	start	end	wt_96h_CHiC_CBS1	wt_96h_CHiC_CBS2	wt_96h_CHiC_CBS4	wt_96h_CHiC_CBS5
chr2	75135000	75136000	0.919302562768576	1.10963614171499	1.01317001229184	1.07808623100579
chr2	75136000	75137000	1.25770555647043	1.40960398529493	1.19304904713969	1.39067711115424
chr2	75137000	75138000	1.24592524263423	1.42259507171143	1.10818345462823	1.4225842542792
chr2	75138000	75139000	1.3085490777698	1.34817201857598	1.1066971821645	1.3238395254687
chr2	75139000	75140000	1.49708586109789	1.4977625755829	1.20475522656488	1.2912795576544
chr2	75140000	75141000	1.7499818683647	1.75733903518737	1.30645233452057	1.36438420665834
chr2	75141000	75142000	1.5407616977724	1.66790055029249	1.39772503311039	1.34175781266513
chr2	75142000	75143000	1.70499606512873	2.10349076023652	1.53498276772315	1.63124468866718
chr2	75143000	75144000	1.77059993266341	2.36769621987776	1.75397896900977	1.85709020587725
chr2	75144000	75145000	1.71019428921636	2.39565408270359	1.60689731472092	1.80169687384937
chr2	75145000	75146000	1.61608252174709	2.64613847779927	2.070881523114	1.77593658307368
chr2	75146000	75147000	1.70054716429729	3.12261867494183	2.16562950524852	1.61319859604002
chr2	75147000	75148000	1.79583324813635	2.87375895762365	2.07909349095525	1.3790289077775
chr2	75148000	75149000	2.07845177057216	3.13038749890689	2.36912456171278	1.59966929805164
chr2	75149000	75150000	2.0839988782966	3.00926819722251	2.47850507666334	1.62212638782168
chr2	75150000	75151000	2.08465141287356	2.61296656703318	2.07646369333956	1.53180619138833
chr2	75151000	75152000	2.06468820113085	2.41542917232117	1.73880240176753	1.58391947347261
chr2	75152000	75153000	1.84325698039571	2.40210190171082	1.79056677629896	1.69085659625077
chr2	75153000	75154000	1.67202797541029	2.11846569293877	1.54707591793244	1.46087601009076
chr2	75154000	75155000	1.6205613888633	2.1751394837234	1.60273656540756	1.58609508352495
