chr	start	end	wt_144h_CHiC_d9	wt_48h_CHiC_d9	wt_96h_CHiC_d9
chr2	74652000	74653000	0.445993060829046	0.669642253662248	0.611006487752991
chr2	74653000	74654000	0.440859602705394	0.700609136490584	0.610380366491185
chr2	74654000	74655000	0.42073081957456	0.829795922774247	0.668157322345638
chr2	74655000	74656000	0.493863152755184	0.83826276384934	0.813186073585851
chr2	74656000	74657000	0.573194065534077	0.986063746693558	0.990347417792529
chr2	74657000	74658000	0.579002820568548	1.09616326079125	0.999482938444345
chr2	74658000	74659000	0.681392654941431	1.27679861375605	1.13070241592346
chr2	74659000	74660000	0.81041298607818	1.36394125009312	1.20460022241565
chr2	74660000	74661000	0.757258858166516	1.44067573190812	1.08123902190616
chr2	74661000	74662000	0.674196253192625	1.39756206499949	1.01441048951035
chr2	74662000	74663000	0.643630618616165	1.37840014071103	1.12887177164109
chr2	74663000	74664000	0.611604844520473	1.25813467284753	1.12695160724271
chr2	74664000	74665000	0.525830466693668	1.12499197401706	1.09396885095197
chr2	74665000	74666000	0.596244205530441	1.04990205222862	1.13855879291622
chr2	74666000	74667000	0.754431797818967	1.10963799808296	1.21704650423703
chr2	74667000	74668000	0.736733185613075	1.08385740510396	1.2580586485705
chr2	74668000	74669000	0.633994137094954	0.928609666485688	1.12225751021964
chr2	74669000	74670000	0.551878161227401	0.788014938870892	1.02254589833289
chr2	74670000	74671000	0.485872009540182	0.660915581853221	0.943892805373043
chr2	74671000	74672000	0.437740812159375	0.598726735845653	0.889861964809809
chr2	74672000	74673000	0.512013096207817	0.557574492702154	0.755993002054452
chr2	74673000	74674000	0.552131418460533	0.679164102013229	0.834941322175987
chr2	74674000	74675000	0.573381976325357	0.783593503070072	0.958094597899121
chr2	74675000	74676000	0.831296699722254	0.980721720588351	1.10478569812365
chr2	74676000	74677000	0.967280490412211	1.0659355407034	1.19146239731477
chr2	74677000	74678000	0.96946177891699	1.35230472985817	1.43278011685675
