chr	start	end	Del(CBS1-5)_96h_CHiC_d11	Del(CBS1-5)_96h_CHiC_d13	Del(CBS1-5)_96h_CHiC_d9	wt_96h_CHiC_merge_d11	wt_96h_CHiC_merge_d13	wt_96h_CHiC_merge_d9
chr2	74721000	74722000	1.02172753213954	0.868369881960964	1.49254019811907	0.751018262705325	0.52491982438317	0.930254340873097
chr2	74722000	74723000	1.22009827487896	0.867570555417506	1.74472568164945	0.829672209011105	0.581640273536856	1.05796432112378
chr2	74723000	74724000	1.29651073861454	0.823041229693551	1.76409525244781	0.783301601494879	0.540372212742269	1.1393980633986
chr2	74724000	74725000	1.40492132497361	0.840872633898702	1.87687637461442	0.777258424208014	0.557532691777422	1.30227932602776
chr2	74725000	74726000	1.37903615067861	0.834908508984104	1.85432396643592	0.777156218416758	0.578395600721706	1.28279859399761
chr2	74726000	74727000	1.34211399212996	0.801239795245723	1.92878756147288	0.741961192670716	0.584293148446449	1.24708024169108
chr2	74727000	74728000	1.26001689729523	0.795719366509237	1.70341066771485	0.651795814584582	0.509066742098446	1.16946773874678
chr2	74728000	74729000	1.15274356318852	0.654358999583556	1.5677675976283	0.63154874634141	0.503367905844892	1.08661934624994
chr2	74729000	74730000	1.17709442320946	0.602084430521749	1.72570110971401	0.608301581653444	0.517815256520656	1.03079501412618
chr2	74730000	74731000	1.2884125101992	0.530279801088757	2.00992138414039	0.669726598094534	0.490833566670944	1.09548058682085
chr2	74731000	74732000	1.29866156606812	0.501557066740697	1.9687466875762	0.653086723153157	0.451773076118897	1.06407737460865
chr2	74732000	74733000	1.2337652406236	0.528690173768351	1.87084842697052	0.653969619087378	0.435560659748547	0.999762296640282
chr2	74733000	74734000	1.35478639360258	0.579824606312114	1.77295400545663	0.662205362696145	0.436085569131067	0.9890457947529
chr2	74734000	74735000	1.36636858868498	0.558944001257742	1.81832864108365	0.666416799339291	0.404918534948875	0.984774355089104
chr2	74735000	74736000	1.26203604727749	0.6844886272635	1.90177637282249	0.59701057381005	0.427281370987095	0.982169162461135
chr2	74736000	74737000	1.40975554474644	0.755697978750165	2.29087246091905	0.723111703973741	0.567405142477842	1.08891424876665
chr2	74737000	74738000	1.51686156484115	0.83980477849139	2.56187026698965	0.809067732674596	0.64401567078069	1.20204123337613
chr2	74738000	74739000	1.42036757978337	0.959453168585313	2.74727404663648	0.835708089391118	0.676579134692919	1.25928675459744
chr2	74739000	74740000	1.3339849183262	0.928793773028051	2.27793853888925	0.773517091108499	0.666835046617773	1.23727139524035
chr2	74740000	74741000	1.50336717700424	0.964854796687605	2.11459345780798	0.73398319276897	0.685085427859151	1.26769396780862
chr2	74741000	74742000	1.40103040525913	0.950831286743574	1.88162257840881	0.714796215797277	0.609013798811161	1.28843848006137
chr2	74742000	74743000	1.47393605356361	1.04546458260555	1.90494745610557	0.711906238398034	0.652767082993871	1.32504674130583
chr2	74743000	74744000	1.49105309360617	0.98840418117999	1.78562525986524	0.690343290045547	0.646562349702646	1.22825100355529
chr2	74744000	74745000	1.61204987595089	1.07075379625043	2.13401187242903	0.805218448106967	0.761298040629283	1.19391956646809
chr2	74745000	74746000	1.50278162948409	1.15320321065182	2.06335612606497	0.835271649672575	0.718587921552416	1.15332055177222
chr2	74746000	74747000	1.52019028030379	1.23256885033318	1.89674494945256	0.764456180812503	0.6882108108705	1.02787668892906
chr2	74747000	74748000	1.36540806700441	1.05957961167697	1.60522362408669	0.709603597637888	0.593105297340151	0.907231123949916
chr2	74748000	74749000	1.4242331829965	0.953762015849791	1.67040410324651	0.720166347811218	0.507979175137453	0.966333732635049
chr2	74749000	74750000	1.29745752091122	1.05076552976277	1.53872995540577	0.623517116098591	0.425044907526384	0.958155092508869
