chr	start	end	wt_144h_CHiC_d11	wt_48h_CHiC_d11	wt_96h_CHiC_d11
chr2	74652000	74653000	0.768215047682452	0.561809372763487	0.794780111180829
chr2	74653000	74654000	0.75411124768693	0.554964846188667	0.746110520879474
chr2	74654000	74655000	0.735698390559124	0.64305208556657	0.78519948419343
chr2	74655000	74656000	0.679845893742038	0.76059438433106	0.866290332355196
chr2	74656000	74657000	0.760848069350491	0.928107354010244	0.985710899658487
chr2	74657000	74658000	0.793343662739481	0.977919785060155	1.02408081415791
chr2	74658000	74659000	0.912630974949157	1.1751361159954	1.24791984674338
chr2	74659000	74660000	0.910219255677715	1.21865154590587	1.33448245239417
chr2	74660000	74661000	0.991891193367068	1.21168246768853	1.30951014073152
chr2	74661000	74662000	0.989581579359546	1.1699260060482	1.27594376085667
chr2	74662000	74663000	1.05545726510316	1.2577791657233	1.36756267225837
chr2	74663000	74664000	1.03685410768752	1.19462171347874	1.30868437730855
chr2	74664000	74665000	1.02023655049283	1.15574001424205	1.32910188473045
chr2	74665000	74666000	0.920362279095279	1.17747584978992	1.33419516389015
chr2	74666000	74667000	0.910749049833081	1.23100105904741	1.38443495099782
chr2	74667000	74668000	0.797781169917853	1.16782211618228	1.36932706647652
chr2	74668000	74669000	0.651016415312794	1.03866027190841	1.21275252582739
chr2	74669000	74670000	0.560451155407753	0.929059769958659	1.05965839899151
chr2	74670000	74671000	0.491320763873983	0.800742428830655	0.972889116123881
chr2	74671000	74672000	0.524030269655764	0.777403325952026	1.02023822168295
chr2	74672000	74673000	0.567679195917501	0.756586689596292	0.998413957537884
chr2	74673000	74674000	0.663653227810276	0.837973546752887	1.11172120878524
chr2	74674000	74675000	0.756715136629931	0.904128133674849	1.27457822592238
chr2	74675000	74676000	1.09740256425133	1.05588855118386	1.48315229713948
chr2	74676000	74677000	1.13808804832233	1.16853252100125	1.5624499560824
chr2	74677000	74678000	1.27914856954242	1.34474087911925	1.67978572988233
