chr	start	end	Del(d1-d4)_96h_CHiC_CBS1	Del(d1-d4)_96h_CHiC_CBS2	Del(d1-d4)_96h_CHiC_CBS4	Del(d1-d4)_96h_CHiC_CBS5
chr2	75090000	75091000	1.52740499893954	1.97734563038761	0.830273973278136	1.14392788499294
chr2	75091000	75092000	1.28199513703375	1.8736727345251	0.65551163411255	1.29069687637173
chr2	75092000	75093000	1.21724493703047	1.85364521009705	0.849772128825476	1.36764746955395
chr2	75093000	75094000	1.34598371186253	1.57899688199013	1.18452496194365	1.29440941292152
chr2	75094000	75095000	1.40027097051359	2.14142677285864	1.591699432375	1.02621110375402
chr2	75095000	75096000	1.31123412569754	2.09622483330656	1.28712327082262	0.776278346497831
chr2	75096000	75097000	2.31089089922946	2.38135687761678	1.66523955329973	1.00515653409648
chr2	75097000	75098000	2.64828976280329	2.39467266779602	1.88233283597463	1.13718472659087
chr2	75098000	75099000	2.7515055507341	2.59344136819467	1.77806600375762	1.41494631618527
chr2	75099000	75100000	2.75735288765943	2.11256784004768	1.63686851289222	1.55160634769969
chr2	75100000	75101000	2.94731516302366	1.82224768979112	1.70625940018999	1.51953000981666
chr2	75101000	75102000	2.29448540915873	1.73841954658428	1.57372006242128	1.42619751488309
chr2	75102000	75103000	2.37060872570032	2.00110419035819	1.70552766054882	1.60476013936855
chr2	75103000	75104000	2.12068557152246	1.81012632534785	1.69838619763894	1.52334612964198
chr2	75104000	75105000	1.82447673966467	1.92692045041619	1.82071980505149	1.37006432542282
chr2	75105000	75106000	1.54836227048924	1.76237443442559	1.64464832265498	1.35787339896458
chr2	75106000	75107000	1.56788939438972	1.39991658290088	1.28067119941144	1.29526386781364
chr2	75107000	75108000	1.24116064982567	1.22926237098643	0.956744080237778	0.94668985633279
chr2	75108000	75109000	1.18713682722585	1.16951599395012	1.06842731575837	1.01682035611635
chr2	75109000	75110000	1.11640999164703	0.776321265037991	0.949903428401488	1.05389563494063
