chr	start	end	wt_48h_CHiC_CBS1	wt_48h_CHiC_CBS2	wt_48h_CHiC_CBS3	wt_48h_CHiC_CBS4	wt_48h_CHiC_CBS5	wt_48h_CHiC_CBS6
chr2	74780000	74781000	0.952406662957795	0.890935181109319	0.478995544004587	0.710858629107351	0.69551229183545	0.555052242032418
chr2	74781000	74782000	0.874746784729569	1.02763589060938	0.443001646396084	0.714882208528404	0.665264880100221	0.477372596856037
chr2	74782000	74783000	0.896453767280616	0.966353587272329	0.53703096785097	0.588882360244517	0.645623855185321	0.436940599981551
chr2	74783000	74784000	0.92614934884427	0.889220822572876	0.552671696239929	0.411284815418249	0.621148585559027	0.354184083321049
chr2	74784000	74785000	0.666537407208697	0.764510737909618	0.713725564834558	0.293954018194349	0.505060931178028	0.327314825614879
chr2	74785000	74786000	0.770067414043113	0.80679467445902	0.920067438189253	0.522411550250373	0.569110945623414	0.394401132771112
chr2	74786000	74787000	0.883618300841138	0.767525191383961	1.00159810328347	0.560501688727108	0.637269563255679	0.460888084912534
chr2	74787000	74788000	0.768692115722859	0.774855388681652	0.886509442354261	0.59785554932375	0.570255835448073	0.44994193906881
chr2	74788000	74789000	0.751995027971788	0.794804726179833	0.906183827597533	0.715955509741634	0.634150446648039	0.455751413878093
chr2	74789000	74790000	0.664381341390852	0.754868233675594	0.784295893843263	0.790401891016805	0.613529904429633	0.408736062241669
chr2	74790000	74791000	0.583560596558104	0.686990649018929	0.592412312573411	0.584393131942602	0.552997393677243	0.290679640567977
chr2	74791000	74792000	0.554406883415197	0.710889727662235	0.550913487136667	0.446255074783503	0.5461578034606	0.327979793605726
chr2	74792000	74793000	0.615014541668585	0.628499447524658	0.535492139484231	0.44987071901995	0.49455124125986	0.325733677307395
chr2	74793000	74794000	0.529304802683214	0.510123809700756	0.433846947834555	0.369923509378066	0.379276749275267	0.301669630338187
chr2	74794000	74795000	0.477636153610411	0.470865959468752	0.372373186938196	0.27806765124217	0.333373544637801	0.329999748449285
chr2	74795000	74796000	0.513802786198178	0.524638701008058	0.422865469926636	0.346413602597729	0.398735725597554	0.467148698855068
chr2	74796000	74797000	0.418492875239426	0.418093327529326	0.375111993427152	0.337524028470613	0.352399151356682	0.37682921088336
chr2	74797000	74798000	0.300201930640028	0.372833644091508	0.331026880795322	0.196851596934808	0.328109921264467	0.367813395149339
chr2	74798000	74799000	0.414498608147271	0.353825486670277	0.395421328805475	0.172189449461333	0.322924892996184	0.402740206732284
chr2	74799000	74800000	0.51828757134673	0.373727424653216	0.434166837402195	0.245974744557372	0.331421530550308	0.439555027629483
chr2	74800000	74801000	0.498298389124871	0.305332228917625	0.469652681317197	0.301986194715422	0.322959127906082	0.369452436292161
chr2	74801000	74802000	0.519479430237349	0.277032066612355	0.436421841007619	0.29820207410024	0.331031472313676	0.436322374245299
chr2	74802000	74803000	0.521076885342053	0.291103218281108	0.440376561868127	0.330145882757687	0.373214082599249	0.43085628147731
chr2	74803000	74804000	0.447770995662101	0.299361598251297	0.314477723285035	0.351829250972384	0.428437194980688	0.398042908576163
chr2	74804000	74805000	0.383381003916941	0.277076434867298	0.251268843337928	0.303355236958987	0.456991419392325	0.342450697311156
chr2	74805000	74806000	0.360772485686552	0.199843742708912	0.141356240884312	0.206221539570031	0.38221947719663	0.248665733219195
chr2	74806000	74807000	0.388401501138313	0.338705889234817	0.119193447330673	0.257781392390446	0.341122938630365	0.205577476327923
chr2	74807000	74808000	0.414093692216014	0.35589232991039	0.111123057667658	0.258381674223278	0.277055185789078	0.163049010683949
chr2	74808000	74809000	0.454410467755815	0.345822093400745	0.111123057667658	0.267069219702497	0.220243419017066	0.131976206198303
chr2	74809000	74810000	0.633148204203805	0.423623246191753	0.186555820516391	0.288684616202061	0.311192612379771	0.211223531028645
chr2	74810000	74811000	0.710233352542395	0.536264999173915	0.278510954660713	0.319262416957851	0.429239350962745	0.234830920294708
chr2	74811000	74812000	0.666909510947937	0.416469303432339	0.259287134557869	0.273172188706844	0.440697717691498	0.231569463712234
chr2	74812000	74813000	0.606299775088593	0.412473064048089	0.299365057219787	0.286250199741176	0.442369857036675	0.242834429273772
chr2	74813000	74814000	0.542747566481725	0.43313484737884	0.371901946583296	0.287008490886692	0.439890515588983	0.257352842507032
chr2	74814000	74815000	0.395592713769341	0.378373387385105	0.4111319975054	0.266995666064728	0.360363631119075	0.227302922515333
chr2	74815000	74816000	0.340091821230729	0.33976446015077	0.296328153780422	0.230932893853543	0.221271835080306	0.199021454288082
chr2	74816000	74817000	0.582763960684792	0.481952738388015	0.446756747129654	0.313239014791249	0.315327068832663	0.208671044775629
chr2	74817000	74818000	0.962236308373858	0.803221908700572	0.576072974234374	0.527749804193562	0.394863712778478	0.32059936947812
chr2	74818000	74819000	1.1173856465199	0.85056327410154	0.654867948580993	0.521293783440202	0.422040336115809	0.338356020182351
chr2	74819000	74820000	1.24181100187672	0.838343363896295	0.661706835545002	0.484727026160729	0.379484973132606	0.300696090954611
chr2	74820000	74821000	1.3076025264244	0.927150943303027	0.672744997771769	0.473397358451077	0.474687889445926	0.350400707163572
chr2	74821000	74822000	1.08815460712105	0.76995754628228	0.637513594036843	0.36688444209255	0.395134993083291	0.432474090073438
chr2	74822000	74823000	0.862880015675264	0.489149102629953	0.532120699002843	0.106751551165625	0.381001401217646	0.34637856370791
chr2	74823000	74824000	0.770232985697056	0.450730038923718	0.520875431355579	0.260724500829729	0.460697021703358	0.322735463880229
chr2	74824000	74825000	0.640299680595683	0.407044517445261	0.370410192225528	0.249248457625377	0.442543670160611	0.338439237240318
chr2	74825000	74826000	0.568750704153832	0.278789594165136	0.327362521237155	0.234776750768207	0.327422512720182	0.30352692835441
chr2	74826000	74827000	0.641511564731673	0.446921158573959	0.386151272874936	0.266284564710588	0.31726559525224	0.189561429430881
chr2	74827000	74828000	0.574439512140205	0.5762864068943	0.333369173002975	0.277940050618832	0.276085585587615	0.199021454288082
chr2	74828000	74829000	0.648767794998814	0.632619742016141	0.267364615385217	0.173183117222209	0.224186883497789	0.229003101941182
chr2	74829000	74830000	0.791475596317468	0.791498575946549	0.333369173002975	0.303383456657757	0.359420388199227	0.230193489297058
chr2	74830000	74831000	0.880714199488885	0.834622887160528	0.444492230670633	0.314082386272436	0.525520608315726	0.237817611427335
chr2	74831000	74832000	0.824808701420111	0.736511129091201	0.441619693435774	0.365862773537968	0.473553641278837	0.255443751311499
chr2	74832000	74833000	0.817225338121896	0.658068742846185	0.49696546220824	0.47017466332487	0.465853251095968	0.212447109298716
chr2	74833000	74834000	0.743861647037345	0.685460054026713	0.478528420091456	0.496744542347182	0.415757452550409	0.169821010569299
chr2	74834000	74835000	0.660150389962717	0.675610345932222	0.53383740266473	0.519951534203209	0.415031034581843	0.170589817961213
chr2	74835000	74836000	0.657443969607873	0.723129203998129	0.469546048887114	0.604293891436765	0.32376277709603	0.208716063399562
chr2	74836000	74837000	0.765951518444411	0.750836335115206	0.4113930809535	0.605752033574719	0.384699379415209	0.201184730965126
chr2	74837000	74838000	0.86430600396889	0.733600886701679	0.574754693964286	0.626260931823198	0.402131982247896	0.241827257790588
chr2	74838000	74839000	0.933290974705147	0.652519155530466	0.566304976899886	0.563438793368408	0.422866811185954	0.239665336694442
chr2	74839000	74840000	0.92706949724779	0.560527179332125	0.488146347613945	0.451245151874979	0.292925041702957	0.195141433839602
chr2	74840000	74841000	0.873727135056116	0.618852905488411	0.47218082710823	0.363234655743889	0.268800212850482	0.146202943779501
chr2	74841000	74842000	0.773391288502121	0.517473136319344	0.445511891434501	0.355464170427363	0.272298522988783	0.199021454288082
chr2	74842000	74843000	0.62370376364262	0.442330999318615	0.261756535839373	0.302601145434578	0.250160102438012	0.142789995774941
chr2	74843000	74844000	0.552443829846313	0.472080285141968	0.375506656681484	0.292971203409328	0.271824345307698	0.273873032391603
chr2	74844000	74845000	0.546604574343046	0.530549376776081	0.407327023361554	0.253085100429641	0.367595256800719	0.341672397634027
chr2	74845000	74846000	0.519993610200627	0.41587136030612	0.428790835239108	0.227668178628239	0.375501288529825	0.373939016507142
chr2	74846000	74847000	0.480670359038649	0.43550232985118	0.377170340437949	0.182085879930573	0.362844898883965	0.364153806452806
chr2	74847000	74848000	0.588341866846453	0.44819671179976	0.360633458165215	0.199366588829875	0.474417765021453	0.390538564659566
chr2	74848000	74849000	0.603104241642112	0.394228274903292	0.225717734372673	0.233813769107374	0.465843280393417	0.304785810090199
chr2	74849000	74850000	0.54353996432518	0.283904999562661	0.196945231987056	0.268316286592236	0.362861938742739	0.287703622005566
chr2	74850000	74851000	0.555791054810532	0.279903362808784	0.223084384511499	0.337672441294826	0.387225711390535	0.22777480644326
chr2	74851000	74852000	0.676307319717984	0.401403072171177	0.286133592591885	0.593889769334812	0.372000905827865	0.176047283757702
chr2	74852000	74853000	0.599177233987263	0.42011595502409	0.269063868618182	0.538503199298774	0.279651181172436	0.173603464959216
chr2	74853000	74854000	0.52408805696292	0.461759827187533	0.243034192304691	0.458943377033511	0.245619564619184	0.144530402756262
chr2	74854000	74855000	0.613008266146526	0.505507218472633	0.389145190004087	0.469553501536414	0.238281367857201	0.11955477735309
