chr	start	end	Del(sub-TAD1)_96h_CHiC_d11	Del(sub-TAD1)_96h_CHiC_d13	Del(sub-TAD1)_96h_CHiC_d8	Del(sub-TAD1)_96h_CHiC_d9	wt_96h_CHiC_d11	wt_96h_CHiC_d13	wt_96h_CHiC_d8	wt_96h_CHiC_d9
chr2	74770000	74771000	2.43692776769745	1.63261595035539	4.54334646853676	3.97503015958702	NA	NA	NA	NA
chr2	74771000	74772000	2.87158452301959	1.69948996533769	5.26059530958505	4.08064197016658	NA	NA	NA	NA
chr2	74772000	74773000	2.45093378856552	1.36201375273355	4.51410187117667	3.3827757171176	NA	NA	NA	NA
chr2	74773000	74774000	2.18845172373436	1.20573295376544	3.89223929554921	2.97361369057308	NA	NA	NA	NA
chr2	74774000	74775000	2.56721471784578	1.30286597581292	3.61165554685381	2.90174601433244	NA	NA	NA	NA
chr2	74775000	74776000	2.55923670692274	1.44775482723628	3.43051675110207	2.83468164214697	NA	NA	NA	NA
chr2	74776000	74777000	2.39735749842668	1.3744028892502	3.19543233555373	3.03934561367058	NA	NA	NA	NA
chr2	74777000	74778000	2.44454345491934	1.39630361117093	3.428243075224	3.02246490185303	NA	NA	NA	NA
chr2	74778000	74779000	2.9616119616417	1.74195889246426	4.032799035042	3.65131834180443	NA	NA	NA	NA
chr2	74779000	74780000	2.98763576549692	1.83516413475932	3.90008294008705	3.99090436896157	NA	NA	NA	NA
chr2	74780000	74781000	2.85575223573805	1.68169659405493	3.56097929620193	3.92876131226932	NA	NA	NA	NA
chr2	74781000	74782000	2.36523035601987	1.47262573527382	2.87495638022954	3.44146662164675	NA	NA	NA	NA
chr2	74782000	74783000	2.22529005128221	1.40468413049484	2.57171717891954	3.31512638997611	NA	NA	NA	NA
chr2	74783000	74784000	1.9635950950171	1.22125283668436	2.28271245218292	2.73217019400899	NA	NA	NA	NA
chr2	74784000	74785000	1.18053090181631	0.895134421421384	1.46792182114912	1.41829427490862	NA	NA	NA	NA
chr2	74785000	74786000	0.952670108177379	0.746142699134855	1.09435859082715	0.986710210606089	NA	NA	NA	NA
chr2	74786000	74787000	0.827251905531023	0.580914628587545	0.808413259386569	0.515319177653085	NA	NA	NA	NA
chr2	74787000	74788000	1.21062451415184	0.78900906605104	1.20245526619285	0.9942091419178	NA	NA	NA	NA
chr2	74788000	74789000	1.47036209213955	0.954408784524852	1.38182354957051	1.8571839685121	NA	NA	NA	NA
chr2	74789000	74790000	1.13533745301391	0.907649421696808	1.15007592167901	1.87058392875987	NA	NA	NA	NA
chr2	75135000	75136000	NA	NA	NA	NA	0.910552573671654	0.605298425713258	1.22736659622016	1.39598602914263
chr2	75136000	75137000	NA	NA	NA	NA	1.17446830460847	0.765169397935635	1.71965663000578	1.69350888993455
chr2	75137000	75138000	NA	NA	NA	NA	1.23268631157893	0.771822652073389	1.772257614076	1.63701040040491
chr2	75138000	75139000	NA	NA	NA	NA	1.20096714884815	0.733148963719151	1.72432632546269	1.45992511056102
chr2	75139000	75140000	NA	NA	NA	NA	1.37548680277983	0.743689296611138	1.96278782746282	1.64726351923265
chr2	75140000	75141000	NA	NA	NA	NA	1.4810342550063	0.800188405070583	2.21711954790182	1.77847582124628
chr2	75141000	75142000	NA	NA	NA	NA	1.46960357684551	0.707292318314987	1.98123984911118	1.65071465782697
chr2	75142000	75143000	NA	NA	NA	NA	1.59695190006532	0.842418690271413	2.23645337607314	2.12308552586673
chr2	75143000	75144000	NA	NA	NA	NA	1.65746103958709	0.899223656557847	2.368431068264	2.46798805884237
chr2	75144000	75145000	NA	NA	NA	NA	1.49397344796852	0.84303083799786	2.20759969595302	2.30944892200782
chr2	75145000	75146000	NA	NA	NA	NA	1.3611992754549	0.901515566378396	2.17153290619223	2.6295089349555
chr2	75146000	75147000	NA	NA	NA	NA	1.37498502847288	0.93869896541108	2.21986769899602	2.94911963312405
chr2	75147000	75148000	NA	NA	NA	NA	1.20847122028997	0.84301795024897	1.92301471629757	2.54960898199317
chr2	75148000	75149000	NA	NA	NA	NA	1.40814673341737	0.976417617411529	2.10705571108824	2.53593914500516
chr2	75149000	75150000	NA	NA	NA	NA	1.44212800938614	0.995428156438206	2.01895525119316	2.48178884405315
chr2	75150000	75151000	NA	NA	NA	NA	1.5119253836281	0.843320868445529	1.77117403337671	2.01258456716569
chr2	75151000	75152000	NA	NA	NA	NA	1.5081498010686	0.88442095350376	1.63014717739085	1.68299399043132
chr2	75152000	75153000	NA	NA	NA	NA	1.55630211790445	0.95993610862063	1.7039822924265	1.81342032415537
chr2	75153000	75154000	NA	NA	NA	NA	1.27883053741233	0.798034011866499	1.3711165462686	1.58780596340464
chr2	75154000	75155000	NA	NA	NA	NA	1.25263078555003	0.815475870270841	1.38981314508005	1.53610253842644
